,ind,timestamp,time,marker1_data,marker2_data,marker3_data,marker4_data,marker5_data
34,35,1687770998.4355488,3.695585250854492,"(0, 0, 0)","(-25.956071853637695, -11.725484848022461, 627.6412963867188)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
35,36,1687770998.538221,3.798257827758789,"(0, 0, 0)","(-29.48044776916504, -17.956541061401367, 624.6864624023438)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
36,37,1687770998.640339,3.9003772735595703,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(-33.386470794677734, -17.41288185119629, 617.6273803710938)","(0, 0, 0)"
37,38,1687770998.7426975,4.002733945846558,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(-38.81377029418945, -14.60414981842041, 609.7166748046875)","(0, 0, 0)"
38,39,1687770998.8445938,4.104630470275879,"(0, 0, 0)","(-43.626895904541016, -15.160486221313477, 605.8156127929688)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
39,40,1687770998.9475646,4.207601070404053,"(0, 0, 0)","(-45.8641242980957, -14.74272346496582, 603.993896484375)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
40,41,1687770999.0492027,4.30923867225647,"(0, 0, 0)","(-45.89797592163086, -12.403155326843262, 605.2408447265625)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
41,42,1687770999.1515696,4.411606788635254,"(0, 0, 0)","(-45.07146453857422, -7.614993572235107, 603.9205322265625)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
42,43,1687770999.254215,4.514251708984375,"(0, 0, 0)","(-44.0677604675293, -2.8740296363830566, 601.6947021484375)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
43,44,1687770999.3564808,4.616516828536987,"(0, 0, 0)","(-43.217864990234375, -1.2950531244277954, 600.7245483398438)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
44,45,1687770999.458799,4.718836307525635,"(0, 0, 0)","(-43.55950927734375, -1.6858247518539429, 601.775390625)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
45,46,1687770999.5611372,4.821173906326294,"(0, 0, 0)","(-45.218597412109375, -4.919744968414307, 603.6838989257812)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
46,47,1687770999.6638124,4.923850059509277,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
47,48,1687770999.7666154,5.026651382446289,"(0, 0, 0)","(0, 0, 0)","(-51.107147216796875, -9.797538757324219, 597.5376586914062)","(0, 0, 0)","(0, 0, 0)"
48,49,1687770999.8686733,5.12870979309082,"(0, 0, 0)","(0, 0, 0)","(-50.04391098022461, -10.233603477478027, 595.4890747070312)","(0, 0, 0)","(0, 0, 0)"
49,50,1687770999.9705331,5.23056960105896,"(0, 0, 0)","(0, 0, 0)","(-51.33347702026367, -11.708430290222168, 595.4893798828125)","(0, 0, 0)","(0, 0, 0)"
50,51,1687771000.073222,5.333259582519531,"(0, 0, 0)","(0, 0, 0)","(-51.23204040527344, -8.804664611816406, 591.4378051757812)","(0, 0, 0)","(0, 0, 0)"
51,52,1687771000.1757016,5.435737609863281,"(0, 0, 0)","(0, 0, 0)","(-50.36684036254883, -7.876171112060547, 592.2478637695312)","(0, 0, 0)","(0, 0, 0)"
52,53,1687771000.2773163,5.537353515625,"(0, 0, 0)","(0, 0, 0)","(-48.35137176513672, -5.836982727050781, 593.0374145507812)","(0, 0, 0)","(0, 0, 0)"
53,54,1687771000.3792782,5.639314413070679,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(-47.270347595214844, -8.20224380493164, 596.2073974609375)","(0, 0, 0)"
54,55,1687771000.4811816,5.741218328475952,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(-42.9173583984375, -8.108044624328613, 600.96728515625)","(0, 0, 0)"
55,56,1687771000.5835097,5.843547582626343,"(0, 0, 0)","(0, 0, 0)","(-40.89014434814453, -6.980325698852539, 601.7359619140625)","(0, 0, 0)","(0, 0, 0)"
56,57,1687771000.6882362,5.9482738971710205,"(0, 0, 0)","(0, 0, 0)","(-47.89982223510742, -11.828468322753906, 600.7305297851562)","(0, 0, 0)","(0, 0, 0)"
57,58,1687771000.790743,6.0507800579071045,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(-52.38304901123047, -13.984631538391113, 598.4741821289062)","(0, 0, 0)"
58,59,1687771000.8923647,6.1524012088775635,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(-54.69005584716797, -14.13868522644043, 594.6257934570312)","(0, 0, 0)"
59,60,1687771000.9936922,6.25372838973999,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(-55.800376892089844, -13.755890846252441, 592.7059326171875)","(0, 0, 0)"
60,61,1687771001.0952501,6.355286598205566,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(-56.34197998046875, -11.407517433166504, 592.9966430664062)","(0, 0, 0)"
61,62,1687771001.1971724,6.457208633422852,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(-56.98835754394531, -9.281136512756348, 592.5907592773438)","(0, 0, 0)"
62,63,1687771001.2989078,6.558943748474121,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(-55.82939529418945, -9.037729263305664, 592.3215942382812)","(0, 0, 0)"
63,64,1687771001.401658,6.661695241928101,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(-54.02499771118164, -7.568719387054443, 592.357666015625)","(0, 0, 0)"
64,65,1687771001.5052714,6.7653093338012695,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(-54.36559295654297, -6.124233722686768, 590.8192749023438)","(0, 0, 0)"
65,66,1687771001.6079473,6.867984294891357,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(-60.15891647338867, -6.737992286682129, 589.8297119140625)","(0, 0, 0)"
66,67,1687771001.7097824,6.969818830490112,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(-62.54935836791992, -5.405533790588379, 589.2901611328125)","(0, 0, 0)"
67,68,1687771001.811635,7.071671724319458,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(-62.598915100097656, -4.894583702087402, 588.753662109375)","(0, 0, 0)"
68,69,1687771001.9136944,7.1737494468688965,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(-64.2361831665039, -4.0299201011657715, 586.3490600585938)","(0, 0, 0)"
69,70,1687771002.0165226,7.276558876037598,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(-65.38371276855469, -2.8669698238372803, 585.6881103515625)","(0, 0, 0)"
70,71,1687771002.118554,7.378591060638428,"(0, 0, 0)","(0, 0, 0)","(-65.61937713623047, -1.3441580533981323, 587.764892578125)","(0, 0, 0)","(0, 0, 0)"
71,72,1687771002.221026,7.481062650680542,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(-65.29254150390625, 0.0020412884186953306, 588.6743774414062)","(0, 0, 0)"
72,73,1687771002.3243227,7.584359407424927,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(-66.41183471679688, -0.695507287979126, 588.3360595703125)"
73,74,1687771002.4260526,7.686088800430298,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(-66.61223602294922, 0.5680261254310608, 588.1857299804688)"
