timestamp,found_marker_index,found_marker_id,CoordX,CoordY,CoordZ,R00,R01,R02,R10,R11,R12,R20,R21,R22
1687855922.2259343,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1687855922.327425,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1687855922.3903673,0,668,-60.20512008666992,-19.15094757080078,608.9144287109375,-0.8336268663406372,-0.21367087960243225,0.5093240141868591,-0.2698604166507721,0.9621473550796509,-0.03805048391222954,-0.4819144904613495,-0.16916629672050476,-0.8597332239151001
1687855922.394505,0,668,-60.17230224609375,-19.046192169189453,608.839111328125,-0.8335282206535339,-0.21481549739837646,0.5090039372444153,-0.2707938849925995,0.9619070887565613,-0.03748849034309387,-0.4815613925457001,-0.1690828651189804,-0.8599474430084229
1687855922.4029768,0,668,-60.12625503540039,-18.933935165405273,608.7779541015625,-0.833285391330719,-0.21593491733074188,0.5089278221130371,-0.2717098593711853,0.9616735577583313,-0.036847978830337524,-0.4814656674861908,-0.16898559033870697,-0.8600201606750488
1687855922.4112484,0,668,-60.072357177734375,-18.81648826599121,608.7276611328125,-0.8330348134040833,-0.21672795712947845,0.5090009570121765,-0.2723958492279053,0.9614961743354797,-0.03640882670879364,-0.4815116822719574,-0.16897957026958466,-0.8599956035614014
1687855922.4197419,0,668,-60.01136016845703,-18.696727752685547,608.679931640625,-0.8326744437217712,-0.21720363199710846,0.509387731552124,-0.27278414368629456,0.9614027738571167,-0.03596516326069832,-0.48191502690315247,-0.16890017688274384,-0.859785258769989
1687855922.427931,0,668,-59.9512825012207,-18.58038330078125,608.6343383789062,-0.8324583172798157,-0.21747705340385437,0.5096242427825928,-0.2729257345199585,0.961377739906311,-0.03555894270539284,-0.48220813274383545,-0.16869090497493744,-0.8596619963645935
1687855922.4362996,0,668,-59.8995246887207,-18.467370986938477,608.595703125,-0.8324819803237915,-0.21759919822216034,0.5095334053039551,-0.2728956937789917,0.9613961577415466,-0.035290565341711044,-0.4821842312812805,-0.1684282273054123,-0.8597268462181091
1687855922.4444864,0,668,-59.85432815551758,-18.361780166625977,608.5562133789062,-0.8325275182723999,-0.21760185062885284,0.5094579458236694,-0.27276182174682617,0.9614419341087341,-0.0350768156349659,-0.48218145966529846,-0.16816307604312897,-0.8597803115844727
1687855922.4530084,0,668,-59.81003189086914,-18.271753311157227,608.5179443359375,-0.8327502608299255,-0.21760614216327667,0.5090919733047485,-0.27257096767425537,0.9615033864974976,-0.03487483039498329,-0.48190465569496155,-0.1678057163953781,-0.8600053191184998
1687855922.4617174,0,668,-59.77851867675781,-18.193490982055664,608.5115966796875,-0.8323822617530823,-0.2174212634563446,0.5097723007202148,-0.2724236249923706,0.961550772190094,-0.03471943736076355,-0.48262321949005127,-0.16777387261390686,-0.8596084713935852
1687855922.4695425,0,668,-59.737770080566406,-18.121143341064453,608.49365234375,-0.8324504494667053,-0.21731023490428925,0.5097082853317261,-0.2724185287952423,0.9615433812141418,-0.034964486956596375,-0.48250851035118103,-0.16796018183231354,-0.8596364855766296
1687855922.4778311,0,668,-59.701316833496094,-18.056434631347656,608.4899291992188,-0.8323039412498474,-0.21724984049797058,0.5099731683731079,-0.2722702622413635,0.96159428358078,-0.03471832349896431,-0.4828447103500366,-0.16774672269821167,-0.859489381313324
1687855922.4864116,0,668,-59.672115325927734,-17.991703033447266,608.4883422851562,-0.832073450088501,-0.21711096167564392,0.5104082822799683,-0.2722938060760498,0.9615820646286011,-0.034870974719524384,-0.4832285940647125,-0.16799622774124146,-0.8592249155044556
