timestamp,found_marker_id,found_marker_index,found_marker_data,marker1_data,marker2_data,marker3_data,marker4_data,marker5_data
1687836254.3722372,670,0,"(-13.10351848602295, -15.501594543457031, 505.6578674316406)","(-13.10351848602295, -15.501594543457031, 505.6578674316406)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687836254.3740177,670,0,"(-13.497642517089844, -16.176576614379883, 505.03656005859375)","(-13.497642517089844, -16.176576614379883, 505.03656005859375)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687836254.3754797,670,0,"(-13.828845024108887, -16.786497116088867, 504.46453857421875)","(-13.828845024108887, -16.786497116088867, 504.46453857421875)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687836254.3840785,670,0,"(-14.07915210723877, -17.31995964050293, 503.94061279296875)","(-14.07915210723877, -17.31995964050293, 503.94061279296875)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687836254.3923814,670,0,"(-14.246451377868652, -17.770967483520508, 503.4836120605469)","(-14.246451377868652, -17.770967483520508, 503.4836120605469)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687836254.4006624,670,0,"(-14.367888450622559, -18.151498794555664, 503.06866455078125)","(-14.367888450622559, -18.151498794555664, 503.06866455078125)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687836254.4087892,670,0,"(-14.437870979309082, -18.49688720703125, 502.6916809082031)","(-14.437870979309082, -18.49688720703125, 502.6916809082031)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687836254.4175336,670,0,"(-14.428686141967773, -18.81477928161621, 502.3734130859375)","(-14.428686141967773, -18.81477928161621, 502.3734130859375)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687836254.425737,670,0,"(-14.347867965698242, -19.089120864868164, 502.11297607421875)","(-14.347867965698242, -19.089120864868164, 502.11297607421875)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687836254.4341767,670,0,"(-14.228636741638184, -19.251005172729492, 501.8973693847656)","(-14.228636741638184, -19.251005172729492, 501.8973693847656)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687836254.442126,670,0,"(-14.109777450561523, -19.29524803161621, 501.6651916503906)","(-14.109777450561523, -19.29524803161621, 501.6651916503906)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687836254.451311,670,0,"(-14.013667106628418, -19.32261085510254, 501.3500671386719)","(-14.013667106628418, -19.32261085510254, 501.3500671386719)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687836254.459069,670,0,"(-13.914294242858887, -19.428936004638672, 500.92205810546875)","(-13.914294242858887, -19.428936004638672, 500.92205810546875)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687836254.4673767,670,0,"(-13.7737398147583, -19.631330490112305, 500.44281005859375)","(-13.7737398147583, -19.631330490112305, 500.44281005859375)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687836254.4754572,670,0,"(-13.533889770507812, -19.951332092285156, 499.97515869140625)","(-13.533889770507812, -19.951332092285156, 499.97515869140625)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687836254.4840388,670,0,"(-13.177884101867676, -20.38029670715332, 499.5712890625)","(-13.177884101867676, -20.38029670715332, 499.5712890625)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687836254.492466,669,1,"(-12.695405006408691, -20.81233024597168, 499.0882568359375)","(0, 0, 0)","(-12.695405006408691, -20.81233024597168, 499.0882568359375)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687836254.5015025,669,1,"(-12.201984405517578, -21.35433578491211, 498.831787109375)","(0, 0, 0)","(-12.201984405517578, -21.35433578491211, 498.831787109375)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687836254.508972,669,1,"(-11.71642780303955, -21.91605567932129, 498.6387634277344)","(0, 0, 0)","(-11.71642780303955, -21.91605567932129, 498.6387634277344)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687836254.5173175,669,1,"(-11.293888092041016, -22.47229766845703, 498.5198059082031)","(0, 0, 0)","(-11.293888092041016, -22.47229766845703, 498.5198059082031)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687836254.5258934,669,1,"(-10.96631908416748, -22.98282241821289, 498.4627380371094)","(0, 0, 0)","(-10.96631908416748, -22.98282241821289, 498.4627380371094)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687836254.5339289,669,1,"(-10.737466812133789, -23.428464889526367, 498.4045715332031)","(0, 0, 0)","(-10.737466812133789, -23.428464889526367, 498.4045715332031)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687836254.542523,669,1,"(-10.576748847961426, -23.793624877929688, 498.3455810546875)","(0, 0, 0)","(-10.576748847961426, -23.793624877929688, 498.3455810546875)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687836254.550677,669,1,"(-10.441235542297363, -24.062143325805664, 498.2784729003906)","(0, 0, 0)","(-10.441235542297363, -24.062143325805664, 498.2784729003906)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687836254.5590475,669,1,"(-10.286938667297363, -24.260560989379883, 498.2077941894531)","(0, 0, 0)","(-10.286938667297363, -24.260560989379883, 498.2077941894531)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687836254.5674255,669,1,"(-10.090300559997559, -24.427940368652344, 498.16778564453125)","(0, 0, 0)","(-10.090300559997559, -24.427940368652344, 498.16778564453125)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687836254.5757256,669,1,"(-9.849230766296387, -24.557828903198242, 498.15631103515625)","(0, 0, 0)","(-9.849230766296387, -24.557828903198242, 498.15631103515625)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687836254.5841162,669,1,"(-9.567750930786133, -24.612144470214844, 498.1795349121094)","(0, 0, 0)","(-9.567750930786133, -24.612144470214844, 498.1795349121094)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687836254.5921829,669,1,"(-9.243207931518555, -24.57037925720215, 498.2406921386719)","(0, 0, 0)","(-9.243207931518555, -24.57037925720215, 498.2406921386719)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687836254.6005511,669,1,"(-8.880048751831055, -24.438934326171875, 498.37841796875)","(0, 0, 0)","(-8.880048751831055, -24.438934326171875, 498.37841796875)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687836254.6092699,669,1,"(-8.484807014465332, -24.21385955810547, 498.5277099609375)","(0, 0, 0)","(-8.484807014465332, -24.21385955810547, 498.5277099609375)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687836254.61743,669,1,"(-8.09809684753418, -23.922943115234375, 498.7109680175781)","(0, 0, 0)","(-8.09809684753418, -23.922943115234375, 498.7109680175781)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687836254.6263757,669,1,"(-7.750162601470947, -23.597463607788086, 498.900146484375)","(0, 0, 0)","(-7.750162601470947, -23.597463607788086, 498.900146484375)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687836254.6343298,669,1,"(-7.442567348480225, -23.256484985351562, 499.1148986816406)","(0, 0, 0)","(-7.442567348480225, -23.256484985351562, 499.1148986816406)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687836254.6425552,669,1,"(-7.185486793518066, -22.908809661865234, 499.3774108886719)","(0, 0, 0)","(-7.185486793518066, -22.908809661865234, 499.3774108886719)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687836254.6507459,669,1,"(-6.967118740081787, -22.554744720458984, 499.6631774902344)","(0, 0, 0)","(-6.967118740081787, -22.554744720458984, 499.6631774902344)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687836254.659164,669,1,"(-6.749510765075684, -22.1951847076416, 499.94903564453125)","(0, 0, 0)","(-6.749510765075684, -22.1951847076416, 499.94903564453125)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687836254.6672533,669,1,"(-6.488792896270752, -21.8482723236084, 500.2682189941406)","(0, 0, 0)","(-6.488792896270752, -21.8482723236084, 500.2682189941406)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687836254.6757438,669,1,"(-6.175708770751953, -21.502948760986328, 500.6455993652344)","(0, 0, 0)","(-6.175708770751953, -21.502948760986328, 500.6455993652344)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687836254.6839633,669,1,"(-5.8252153396606445, -21.141794204711914, 501.07720947265625)","(0, 0, 0)","(-5.8252153396606445, -21.141794204711914, 501.07720947265625)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687836254.6924224,669,1,"(-5.456087112426758, -20.757904052734375, 501.56048583984375)","(0, 0, 0)","(-5.456087112426758, -20.757904052734375, 501.56048583984375)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687836254.700902,669,1,"(-5.079427719116211, -20.34015655517578, 502.0533447265625)","(0, 0, 0)","(-5.079427719116211, -20.34015655517578, 502.0533447265625)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687836254.7088358,669,1,"(-4.750935077667236, -19.900020599365234, 502.6050720214844)","(0, 0, 0)","(-4.750935077667236, -19.900020599365234, 502.6050720214844)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687836254.7173948,669,1,"(-4.5164995193481445, -19.426008224487305, 503.1058654785156)","(0, 0, 0)","(-4.5164995193481445, -19.426008224487305, 503.1058654785156)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687836254.7258039,668,2,"(-4.516188144683838, -18.896148681640625, 503.75567626953125)","(0, 0, 0)","(0, 0, 0)","(-4.516188144683838, -18.896148681640625, 503.75567626953125)","(0, 0, 0)","(0, 0, 0)"
1687836254.734427,668,2,"(-4.285464286804199, -18.340343475341797, 504.28466796875)","(0, 0, 0)","(0, 0, 0)","(-4.285464286804199, -18.340343475341797, 504.28466796875)","(0, 0, 0)","(0, 0, 0)"
1687836254.7424238,668,2,"(-3.9505040645599365, -17.800317764282227, 504.8375549316406)","(0, 0, 0)","(0, 0, 0)","(-3.9505040645599365, -17.800317764282227, 504.8375549316406)","(0, 0, 0)","(0, 0, 0)"
1687836254.7509274,668,2,"(-3.5571460723876953, -17.306983947753906, 505.4102783203125)","(0, 0, 0)","(0, 0, 0)","(-3.5571460723876953, -17.306983947753906, 505.4102783203125)","(0, 0, 0)","(0, 0, 0)"
1687836254.7591064,668,2,"(-3.1276872158050537, -16.871816635131836, 506.0335693359375)","(0, 0, 0)","(0, 0, 0)","(-3.1276872158050537, -16.871816635131836, 506.0335693359375)","(0, 0, 0)","(0, 0, 0)"
1687836254.7674468,668,2,"(-2.6800262928009033, -16.48756980895996, 506.7042236328125)","(0, 0, 0)","(0, 0, 0)","(-2.6800262928009033, -16.48756980895996, 506.7042236328125)","(0, 0, 0)","(0, 0, 0)"
1687836254.7759364,668,2,"(-2.2216789722442627, -16.145078659057617, 507.4230041503906)","(0, 0, 0)","(0, 0, 0)","(-2.2216789722442627, -16.145078659057617, 507.4230041503906)","(0, 0, 0)","(0, 0, 0)"
1687836254.7846832,668,2,"(-1.7394980192184448, -15.820241928100586, 508.1771240234375)","(0, 0, 0)","(0, 0, 0)","(-1.7394980192184448, -15.820241928100586, 508.1771240234375)","(0, 0, 0)","(0, 0, 0)"
1687836254.7923315,668,2,"(-1.2240828275680542, -15.462148666381836, 508.9755554199219)","(0, 0, 0)","(0, 0, 0)","(-1.2240828275680542, -15.462148666381836, 508.9755554199219)","(0, 0, 0)","(0, 0, 0)"
1687836254.800712,668,2,"(-0.6895484328269958, -15.016962051391602, 509.8204345703125)","(0, 0, 0)","(0, 0, 0)","(-0.6895484328269958, -15.016962051391602, 509.8204345703125)","(0, 0, 0)","(0, 0, 0)"
1687836254.8092253,668,2,"(-0.17923083901405334, -14.496383666992188, 510.6576843261719)","(0, 0, 0)","(0, 0, 0)","(-0.17923083901405334, -14.496383666992188, 510.6576843261719)","(0, 0, 0)","(0, 0, 0)"
1687836254.8175025,668,2,"(0.25224679708480835, -13.92392349243164, 511.4629821777344)","(0, 0, 0)","(0, 0, 0)","(0.25224679708480835, -13.92392349243164, 511.4629821777344)","(0, 0, 0)","(0, 0, 0)"
1687836254.8257964,668,2,"(0.5979588627815247, -13.316466331481934, 512.220458984375)","(0, 0, 0)","(0, 0, 0)","(0.5979588627815247, -13.316466331481934, 512.220458984375)","(0, 0, 0)","(0, 0, 0)"
1687836254.8345063,668,2,"(0.8537250757217407, -12.702146530151367, 512.9420776367188)","(0, 0, 0)","(0, 0, 0)","(0.8537250757217407, -12.702146530151367, 512.9420776367188)","(0, 0, 0)","(0, 0, 0)"
1687836254.8424072,668,2,"(1.0352743864059448, -12.066120147705078, 513.6596069335938)","(0, 0, 0)","(0, 0, 0)","(1.0352743864059448, -12.066120147705078, 513.6596069335938)","(0, 0, 0)","(0, 0, 0)"
1687836254.8507175,668,2,"(1.1956433057785034, -11.439898490905762, 514.3973999023438)","(0, 0, 0)","(0, 0, 0)","(1.1956433057785034, -11.439898490905762, 514.3973999023438)","(0, 0, 0)","(0, 0, 0)"
1687836254.8590708,668,2,"(1.3522402048110962, -10.844535827636719, 515.1439208984375)","(0, 0, 0)","(0, 0, 0)","(1.3522402048110962, -10.844535827636719, 515.1439208984375)","(0, 0, 0)","(0, 0, 0)"
1687836254.867506,668,2,"(1.4985787868499756, -10.255148887634277, 515.8916015625)","(0, 0, 0)","(0, 0, 0)","(1.4985787868499756, -10.255148887634277, 515.8916015625)","(0, 0, 0)","(0, 0, 0)"
1687836254.8756053,668,2,"(1.624014973640442, -9.67943286895752, 516.6406860351562)","(0, 0, 0)","(0, 0, 0)","(1.624014973640442, -9.67943286895752, 516.6406860351562)","(0, 0, 0)","(0, 0, 0)"
1687836254.8844981,668,2,"(1.7097185850143433, -9.16799545288086, 517.384521484375)","(0, 0, 0)","(0, 0, 0)","(1.7097185850143433, -9.16799545288086, 517.384521484375)","(0, 0, 0)","(0, 0, 0)"
