timestamp,found_marker_id,found_marker_index,found_marker_data,marker1_data,marker2_data,marker3_data,marker4_data,marker5_data
1687838771.1866992,669,0,"(46.010398864746094, 28.16914939880371, 587.5071411132812)","(46.010398864746094, 28.16914939880371, 587.5071411132812)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838771.1880987,669,0,"(46.31287384033203, 28.029560089111328, 587.526611328125)","(46.31287384033203, 28.029560089111328, 587.526611328125)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838771.1900206,669,0,"(46.5885009765625, 27.887935638427734, 587.556396484375)","(46.5885009765625, 27.887935638427734, 587.556396484375)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838771.1984847,669,0,"(46.83758544921875, 27.747802734375, 587.566650390625)","(46.83758544921875, 27.747802734375, 587.566650390625)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838771.2071216,669,0,"(47.063411712646484, 27.615232467651367, 587.5641479492188)","(47.063411712646484, 27.615232467651367, 587.5641479492188)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838771.2153141,669,0,"(47.27388381958008, 27.49762725830078, 587.5354614257812)","(47.27388381958008, 27.49762725830078, 587.5354614257812)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838771.2233124,669,0,"(47.464073181152344, 27.396087646484375, 587.512451171875)","(47.464073181152344, 27.396087646484375, 587.512451171875)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838771.2321365,669,0,"(47.63774871826172, 27.315629959106445, 587.4857788085938)","(47.63774871826172, 27.315629959106445, 587.4857788085938)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838771.2408683,669,0,"(47.7973518371582, 27.258378982543945, 587.4655151367188)","(47.7973518371582, 27.258378982543945, 587.4655151367188)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838771.2485561,669,0,"(47.94168472290039, 27.230493545532227, 587.4542236328125)","(47.94168472290039, 27.230493545532227, 587.4542236328125)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838771.2569244,669,0,"(48.08108139038086, 27.223012924194336, 587.4434814453125)","(48.08108139038086, 27.223012924194336, 587.4434814453125)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838771.265262,669,0,"(48.21519088745117, 27.23331069946289, 587.4347534179688)","(48.21519088745117, 27.23331069946289, 587.4347534179688)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838771.2733412,669,0,"(48.341007232666016, 27.262939453125, 587.44384765625)","(48.341007232666016, 27.262939453125, 587.44384765625)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838771.2826817,669,0,"(48.467803955078125, 27.308774948120117, 587.4573974609375)","(48.467803955078125, 27.308774948120117, 587.4573974609375)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838771.290479,669,0,"(48.598270416259766, 27.369876861572266, 587.467041015625)","(48.598270416259766, 27.369876861572266, 587.467041015625)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838771.2988012,669,0,"(48.732826232910156, 27.437368392944336, 587.5050048828125)","(48.732826232910156, 27.437368392944336, 587.5050048828125)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
