timestamp,found_marker_id,found_marker_index,found_marker_data,marker1_data,marker2_data,marker3_data,marker4_data,marker5_data
1687839398.6892316,669,0,"(17.98377227783203, 19.806915283203125, 439.2244567871094)","(17.98377227783203, 19.806915283203125, 439.2244567871094)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687839398.6908948,669,0,"(17.771942138671875, 19.713891983032227, 439.46185302734375)","(17.771942138671875, 19.713891983032227, 439.46185302734375)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687839398.6932905,669,0,"(17.561477661132812, 19.610084533691406, 439.7094421386719)","(17.561477661132812, 19.610084533691406, 439.7094421386719)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687839398.701519,669,0,"(17.347055435180664, 19.497953414916992, 439.970947265625)","(17.347055435180664, 19.497953414916992, 439.970947265625)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687839398.7101061,669,0,"(17.1229190826416, 19.37319564819336, 440.2282409667969)","(17.1229190826416, 19.37319564819336, 440.2282409667969)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687839398.7185345,669,0,"(16.87546157836914, 19.23023223876953, 440.4951477050781)","(16.87546157836914, 19.23023223876953, 440.4951477050781)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687839398.7269232,669,0,"(16.602802276611328, 19.062837600708008, 440.753173828125)","(16.602802276611328, 19.062837600708008, 440.753173828125)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687839398.73539,669,0,"(16.306396484375, 18.86536407470703, 441.0044860839844)","(16.306396484375, 18.86536407470703, 441.0044860839844)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687839398.74354,669,0,"(15.992359161376953, 18.649883270263672, 441.23370361328125)","(15.992359161376953, 18.649883270263672, 441.23370361328125)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687839398.7516127,669,0,"(15.655235290527344, 18.420459747314453, 441.4614562988281)","(15.655235290527344, 18.420459747314453, 441.4614562988281)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687839398.760525,669,0,"(15.311293601989746, 18.181631088256836, 441.6639404296875)","(15.311293601989746, 18.181631088256836, 441.6639404296875)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687839398.7685318,669,0,"(14.96590805053711, 17.934833526611328, 441.863525390625)","(14.96590805053711, 17.934833526611328, 441.863525390625)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687839398.7769387,669,0,"(14.623420715332031, 17.679893493652344, 442.0740966796875)","(14.623420715332031, 17.679893493652344, 442.0740966796875)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687839398.7852619,669,0,"(14.294313430786133, 17.417490005493164, 442.3130187988281)","(14.294313430786133, 17.417490005493164, 442.3130187988281)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687839398.793667,669,0,"(13.988102912902832, 17.147851943969727, 442.57037353515625)","(13.988102912902832, 17.147851943969727, 442.57037353515625)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687839398.801866,669,0,"(13.703725814819336, 16.876493453979492, 442.8675231933594)","(13.703725814819336, 16.876493453979492, 442.8675231933594)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687839398.8102767,669,0,"(13.455428123474121, 16.617319107055664, 443.1803283691406)","(13.455428123474121, 16.617319107055664, 443.1803283691406)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687839398.8182569,669,0,"(13.239212036132812, 16.37700080871582, 443.51556396484375)","(13.239212036132812, 16.37700080871582, 443.51556396484375)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687839398.8268435,669,0,"(13.047609329223633, 16.166118621826172, 443.8696594238281)","(13.047609329223633, 16.166118621826172, 443.8696594238281)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687839398.8352232,669,0,"(12.88304615020752, 15.98314094543457, 444.2268371582031)","(12.88304615020752, 15.98314094543457, 444.2268371582031)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687839398.8436534,669,0,"(12.737106323242188, 15.824275016784668, 444.58160400390625)","(12.737106323242188, 15.824275016784668, 444.58160400390625)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687839398.851831,669,0,"(12.604801177978516, 15.68974494934082, 444.9250183105469)","(12.604801177978516, 15.68974494934082, 444.9250183105469)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687839398.8602693,669,0,"(12.475473403930664, 15.577917098999023, 445.27203369140625)","(12.475473403930664, 15.577917098999023, 445.27203369140625)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687839398.868647,669,0,"(12.359234809875488, 15.486221313476562, 445.601318359375)","(12.359234809875488, 15.486221313476562, 445.601318359375)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687839398.876774,669,0,"(12.251334190368652, 15.419843673706055, 445.9226989746094)","(12.251334190368652, 15.419843673706055, 445.9226989746094)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687839398.8852332,669,0,"(12.154866218566895, 15.389667510986328, 446.2243347167969)","(12.154866218566895, 15.389667510986328, 446.2243347167969)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687839398.8935506,669,0,"(12.0776948928833, 15.406543731689453, 446.4966125488281)","(12.0776948928833, 15.406543731689453, 446.4966125488281)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687839398.901861,669,0,"(12.01398754119873, 15.463543891906738, 446.74786376953125)","(12.01398754119873, 15.463543891906738, 446.74786376953125)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687839398.910283,669,0,"(11.96432113647461, 15.556039810180664, 446.96868896484375)","(11.96432113647461, 15.556039810180664, 446.96868896484375)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687839398.9184623,669,0,"(11.926621437072754, 15.680217742919922, 447.1697692871094)","(11.926621437072754, 15.680217742919922, 447.1697692871094)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687839398.9269295,669,0,"(11.901355743408203, 15.826481819152832, 447.3750915527344)","(11.901355743408203, 15.826481819152832, 447.3750915527344)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687839398.9348989,669,0,"(11.89937686920166, 15.985193252563477, 447.57568359375)","(11.89937686920166, 15.985193252563477, 447.57568359375)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687839398.9434998,669,0,"(11.922224998474121, 16.16128921508789, 447.7850036621094)","(11.922224998474121, 16.16128921508789, 447.7850036621094)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687839398.9519737,669,0,"(11.984051704406738, 16.361597061157227, 447.9844665527344)","(11.984051704406738, 16.361597061157227, 447.9844665527344)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687839398.9612527,669,0,"(12.100988388061523, 16.5928897857666, 448.1776123046875)","(12.100988388061523, 16.5928897857666, 448.1776123046875)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687839398.9681454,669,0,"(12.28661060333252, 16.865806579589844, 448.35296630859375)","(12.28661060333252, 16.865806579589844, 448.35296630859375)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687839398.9769137,669,0,"(12.531264305114746, 17.1660213470459, 448.5082702636719)","(12.531264305114746, 17.1660213470459, 448.5082702636719)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687839398.9853346,668,1,"(12.737910270690918, 17.59592056274414, 448.6710205078125)","(0, 0, 0)","(12.737910270690918, 17.59592056274414, 448.6710205078125)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687839398.994391,668,1,"(13.057583808898926, 17.90267562866211, 448.76483154296875)","(0, 0, 0)","(13.057583808898926, 17.90267562866211, 448.76483154296875)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687839399.0017257,668,1,"(13.381430625915527, 18.179080963134766, 448.8277282714844)","(0, 0, 0)","(13.381430625915527, 18.179080963134766, 448.8277282714844)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687839399.0103104,668,1,"(13.688333511352539, 18.411279678344727, 448.85601806640625)","(0, 0, 0)","(13.688333511352539, 18.411279678344727, 448.85601806640625)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687839399.0184216,668,1,"(13.971877098083496, 18.5881404876709, 448.8539733886719)","(0, 0, 0)","(13.971877098083496, 18.5881404876709, 448.8539733886719)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687839399.026754,668,1,"(14.223470687866211, 18.705881118774414, 448.8336181640625)","(0, 0, 0)","(14.223470687866211, 18.705881118774414, 448.8336181640625)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687839399.034985,668,1,"(14.447340965270996, 18.77250099182129, 448.78912353515625)","(0, 0, 0)","(14.447340965270996, 18.77250099182129, 448.78912353515625)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687839399.043782,668,1,"(14.646785736083984, 18.80278968811035, 448.71929931640625)","(0, 0, 0)","(14.646785736083984, 18.80278968811035, 448.71929931640625)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687839399.0514884,668,1,"(14.820475578308105, 18.80957794189453, 448.6334533691406)","(0, 0, 0)","(14.820475578308105, 18.80957794189453, 448.6334533691406)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687839399.060323,668,1,"(14.985865592956543, 18.804981231689453, 448.5216979980469)","(0, 0, 0)","(14.985865592956543, 18.804981231689453, 448.5216979980469)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687839399.0687895,668,1,"(15.15226936340332, 18.810104370117188, 448.378662109375)","(0, 0, 0)","(15.15226936340332, 18.810104370117188, 448.378662109375)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687839399.0767937,668,1,"(15.333667755126953, 18.840417861938477, 448.21185302734375)","(0, 0, 0)","(15.333667755126953, 18.840417861938477, 448.21185302734375)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687839399.0856018,668,1,"(15.544843673706055, 18.90880012512207, 448.0160827636719)","(0, 0, 0)","(15.544843673706055, 18.90880012512207, 448.0160827636719)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687839399.093314,668,1,"(15.7880220413208, 19.017780303955078, 447.79010009765625)","(0, 0, 0)","(15.7880220413208, 19.017780303955078, 447.79010009765625)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687839399.1018536,668,1,"(16.054719924926758, 19.158859252929688, 447.5313720703125)","(0, 0, 0)","(16.054719924926758, 19.158859252929688, 447.5313720703125)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687839399.1103199,668,1,"(16.343908309936523, 19.310205459594727, 447.2288818359375)","(0, 0, 0)","(16.343908309936523, 19.310205459594727, 447.2288818359375)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687839399.1185222,668,1,"(16.643531799316406, 19.455821990966797, 446.90594482421875)","(0, 0, 0)","(16.643531799316406, 19.455821990966797, 446.90594482421875)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687839399.1266642,668,1,"(16.94472885131836, 19.576623916625977, 446.5713195800781)","(0, 0, 0)","(16.94472885131836, 19.576623916625977, 446.5713195800781)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687839399.1349669,668,1,"(17.248416900634766, 19.659421920776367, 446.23431396484375)","(0, 0, 0)","(17.248416900634766, 19.659421920776367, 446.23431396484375)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687839399.1434135,668,1,"(17.554445266723633, 19.690961837768555, 445.8990478515625)","(0, 0, 0)","(17.554445266723633, 19.690961837768555, 445.8990478515625)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687839399.152055,668,1,"(17.851089477539062, 19.67099380493164, 445.5970153808594)","(0, 0, 0)","(17.851089477539062, 19.67099380493164, 445.5970153808594)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687839399.1602297,668,1,"(18.14792823791504, 19.604475021362305, 445.3114929199219)","(0, 0, 0)","(18.14792823791504, 19.604475021362305, 445.3114929199219)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687839399.1685724,668,1,"(18.425960540771484, 19.501047134399414, 445.0617980957031)","(0, 0, 0)","(18.425960540771484, 19.501047134399414, 445.0617980957031)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687839399.1768305,668,1,"(18.675031661987305, 19.366540908813477, 444.8141174316406)","(0, 0, 0)","(18.675031661987305, 19.366540908813477, 444.8141174316406)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687839399.184881,668,1,"(18.867685317993164, 19.203489303588867, 444.5981140136719)","(0, 0, 0)","(18.867685317993164, 19.203489303588867, 444.5981140136719)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687839399.1939495,668,1,"(18.991113662719727, 19.011682510375977, 444.3908996582031)","(0, 0, 0)","(18.991113662719727, 19.011682510375977, 444.3908996582031)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687839399.2016296,668,1,"(19.039997100830078, 18.784311294555664, 444.1781311035156)","(0, 0, 0)","(19.039997100830078, 18.784311294555664, 444.1781311035156)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687839399.210191,668,1,"(18.998939514160156, 18.525375366210938, 443.9722900390625)","(0, 0, 0)","(18.998939514160156, 18.525375366210938, 443.9722900390625)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687839399.2183063,668,1,"(18.86882209777832, 18.234031677246094, 443.7674865722656)","(0, 0, 0)","(18.86882209777832, 18.234031677246094, 443.7674865722656)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687839399.2267077,668,1,"(18.658475875854492, 17.913375854492188, 443.5572814941406)","(0, 0, 0)","(18.658475875854492, 17.913375854492188, 443.5572814941406)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687839399.23513,668,1,"(18.372867584228516, 17.570295333862305, 443.37060546875)","(0, 0, 0)","(18.372867584228516, 17.570295333862305, 443.37060546875)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687839399.2434676,668,1,"(18.0332088470459, 17.2266788482666, 443.20770263671875)","(0, 0, 0)","(18.0332088470459, 17.2266788482666, 443.20770263671875)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687839399.2518187,668,1,"(17.670238494873047, 16.902658462524414, 443.0648498535156)","(0, 0, 0)","(17.670238494873047, 16.902658462524414, 443.0648498535156)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687839399.260375,668,1,"(17.30216407775879, 16.622827529907227, 442.9527893066406)","(0, 0, 0)","(17.30216407775879, 16.622827529907227, 442.9527893066406)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687839399.2683241,668,1,"(16.95988655090332, 16.404077529907227, 442.8465270996094)","(0, 0, 0)","(16.95988655090332, 16.404077529907227, 442.8465270996094)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687839399.2769635,668,1,"(16.658885955810547, 16.265819549560547, 442.7684326171875)","(0, 0, 0)","(16.658885955810547, 16.265819549560547, 442.7684326171875)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687839399.2851825,668,1,"(16.420162200927734, 16.21929359436035, 442.71435546875)","(0, 0, 0)","(16.420162200927734, 16.21929359436035, 442.71435546875)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687839399.2936568,668,1,"(16.2606258392334, 16.266326904296875, 442.6720275878906)","(0, 0, 0)","(16.2606258392334, 16.266326904296875, 442.6720275878906)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687839399.301636,668,1,"(16.180164337158203, 16.392364501953125, 442.6463623046875)","(0, 0, 0)","(16.180164337158203, 16.392364501953125, 442.6463623046875)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687839399.3102198,668,1,"(16.17898941040039, 16.571287155151367, 442.63128662109375)","(0, 0, 0)","(16.17898941040039, 16.571287155151367, 442.63128662109375)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687839399.3186266,668,1,"(16.242828369140625, 16.770816802978516, 442.6363220214844)","(0, 0, 0)","(16.242828369140625, 16.770816802978516, 442.6363220214844)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687839399.3267674,668,1,"(16.353439331054688, 16.966934204101562, 442.6451721191406)","(0, 0, 0)","(16.353439331054688, 16.966934204101562, 442.6451721191406)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687839399.335176,668,1,"(16.497154235839844, 17.149446487426758, 442.6648864746094)","(0, 0, 0)","(16.497154235839844, 17.149446487426758, 442.6648864746094)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687839399.3435357,668,1,"(16.667409896850586, 17.313915252685547, 442.67523193359375)","(0, 0, 0)","(16.667409896850586, 17.313915252685547, 442.67523193359375)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687839399.3515935,668,1,"(16.855735778808594, 17.4591007232666, 442.6739807128906)","(0, 0, 0)","(16.855735778808594, 17.4591007232666, 442.6739807128906)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687839399.3601608,668,1,"(17.051761627197266, 17.586902618408203, 442.66485595703125)","(0, 0, 0)","(17.051761627197266, 17.586902618408203, 442.66485595703125)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
