timestamp,found_marker_index,found_marker_id,CoordX,CoordY,CoordZ,R00,R01,R02,R10,R11,R12,R20,R21,R22
1687857301.337722,0,668,-39.472007751464844,-5.6628522872924805,587.9345092773438,-0.8734005093574524,-0.13465429842472076,0.4680168628692627,-0.19291064143180847,0.9780628681182861,-0.07860377430915833,-0.4471655786037445,-0.15893800556659698,-0.8802168369293213
1687857301.3389263,0,668,-39.44967269897461,-5.7505621910095215,587.7501831054688,-0.8745690584182739,-0.13444842398166656,0.46588900685310364,-0.18964454531669617,0.979101836681366,-0.07344786077737808,-0.44627782702445984,-0.15258853137493134,-0.8817895650863647
1687857301.3445406,0,668,-39.45064163208008,-5.880602836608887,587.5863037109375,-0.8757054209709167,-0.13452143967151642,0.4637283384799957,-0.18635357916355133,0.9801557064056396,-0.06758025288581848,-0.4454349875450134,-0.14559783041477203,-0.8833962678909302
1687857301.3530135,0,668,-39.50502395629883,-6.040342330932617,587.4693603515625,-0.8767082095146179,-0.13504937291145325,0.46167561411857605,-0.18299105763435364,0.9812538623809814,-0.06045815348625183,-0.44485610723495483,-0.13748666644096375,-0.8849861025810242
1687857301.361237,0,668,-39.594757080078125,-6.216380596160889,587.3705444335938,-0.8779414892196655,-0.13559171557426453,0.4591662287712097,-0.1794910877943039,0.9823247790336609,-0.0531127043068409,-0.44384872913360596,-0.12904608249664307,-0.8867611885070801
1687857301.3695385,0,668,-39.68958282470703,-6.4132304191589355,587.2996826171875,-0.879168689250946,-0.13553021848201752,0.45683038234710693,-0.17603442072868347,0.9832580089569092,-0.04706947132945061,-0.4428027868270874,-0.12179987132549286,-0.8883076310157776
1687857301.3777936,0,668,-39.76699447631836,-6.624136924743652,587.2568969726562,-0.8799471259117126,-0.13480044901371002,0.45554572343826294,-0.17273539304733276,0.9840521812438965,-0.04247065261006355,-0.442555695772171,-0.11606079339981079,-0.8891987204551697
1687857301.3861206,0,668,-39.80713653564453,-6.836577892303467,587.2246704101562,-0.8808563947677612,-0.13359393179416656,0.45414164662361145,-0.1691344529390335,0.984846830368042,-0.03834402561187744,-0.4421374201774597,-0.11058658361434937,-0.8901039958000183
1687857301.394759,0,668,-39.83267593383789,-7.053685188293457,587.2261962890625,-0.8813052177429199,-0.1317276805639267,0.4538159668445587,-0.16511693596839905,0.9856687188148499,-0.03454827144742012,-0.44276124238967896,-0.10538027435541153,-0.890425443649292
1687857301.402975,0,668,-39.8604621887207,-7.272277355194092,587.2532348632812,-0.8817296624183655,-0.12940241396427155,0.4536605179309845,-0.16096585988998413,0.9864580035209656,-0.031473588198423386,-0.44344428181648254,-0.10077504813671112,-0.890618622303009
1687857301.4110725,0,668,-39.901084899902344,-7.4612274169921875,587.2496948242188,-0.8821296691894531,-0.12729234993457794,0.45347973704338074,-0.15757746994495392,0.9870672225952148,-0.029455892741680145,-0.44386544823646545,-0.09744210541248322,-0.8907797336578369
1687857301.4194963,0,668,-39.95741653442383,-7.615325927734375,587.2314453125,-0.8825014233589172,-0.12531907856464386,0.45330607891082764,-0.1551504284143448,0.9874634146690369,-0.02905864641070366,-0.4439815580844879,-0.09597492218017578,-0.8908811211585999
1687857301.4279926,0,668,-40.02322769165039,-7.75570011138916,587.2052612304688,-0.8826280832290649,-0.12340129911899567,0.4535854756832123,-0.15306082367897034,0.9877880811691284,-0.02910466678440571,-0.44445478916168213,-0.09511476755142212,-0.8907374143600464
1687857301.4361968,0,668,-40.102752685546875,-7.8696746826171875,587.17724609375,-0.8827587962150574,-0.12234918773174286,0.4536161720752716,-0.1509905308485031,0.9881579279899597,-0.027309222146868706,-0.444903165102005,-0.09259920567274094,-0.890778660774231
1687857301.4443486,0,668,-40.20446014404297,-7.9460225105285645,587.1640625,-0.8828572034835815,-0.12214270234107971,0.45348024368286133,-0.1492525339126587,0.9884998798370361,-0.02432437799870968,-0.4452941119670868,-0.08915802836418152,-0.8909343481063843
