,ind,timestamp,time,marker1_data,marker2_data,marker3_data,marker4_data,marker5_data
0,1,1687770930.9170783,9.409427642822266e-09,"(0, 0, 0)","(-33.5725212097168, -10.944571495056152, 568.2642211914062)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1,2,1687770931.0190167,1.1135029792785644e-07,"(0, 0, 0)","(-34.81675720214844, -9.000242233276367, 568.3760375976562)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
2,3,1687770931.1221259,2.1445608139038086e-07,"(0, 0, 0)","(0, 0, 0)","(-36.96849822998047, -10.683324813842773, 574.7055053710938)","(0, 0, 0)","(0, 0, 0)"
3,4,1687770931.2240646,3.1639552116394043e-07,"(0, 0, 0)","(-38.7070426940918, -10.87174129486084, 576.9798583984375)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
4,5,1687770931.3264372,4.1876840591430665e-07,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(-42.235225677490234, -10.623261451721191, 576.3502197265625)","(0, 0, 0)"
5,6,1687770931.4279857,5.203163623809814e-07,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(-46.204750061035156, -10.597043991088867, 574.4881591796875)","(0, 0, 0)"
6,7,1687770931.5295944,6.21924638748169e-07,"(0, 0, 0)","(-45.961002349853516, -11.832786560058594, 568.5873413085938)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
7,8,1687770931.6314158,7.237465381622315e-07,"(0, 0, 0)","(-43.57836151123047, -13.244959831237793, 563.3544921875)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
8,9,1687770931.733225,8.255560398101806e-07,"(0, 0, 0)","(-40.70075988769531, -13.395672798156738, 561.6853637695312)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
9,10,1687770931.8349044,9.272348880767822e-07,"(0, 0, 0)","(-36.24060821533203, -12.22142219543457, 561.058837890625)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
10,11,1687770931.9373653,1.0296974182128905e-06,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(-30.605926513671875, -9.748380661010742, 560.4754028320312)","(0, 0, 0)"
11,12,1687770932.0409324,1.1332638263702392e-06,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(-29.651023864746094, -8.122871398925781, 560.4611206054688)","(0, 0, 0)"
12,13,1687770932.143735,1.2360687255859374e-06,"(0, 0, 0)","(0, 0, 0)","(-29.802398681640625, -5.452335357666016, 560.13623046875)","(0, 0, 0)","(0, 0, 0)"
13,14,1687770932.2471502,1.3394815921783447e-06,"(0, 0, 0)","(-31.28340721130371, -3.081782817840576, 559.7522583007812)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
