,ind,timestamp,time,marker1_data,marker2_data,marker3_data,marker4_data,marker5_data
14,15,1687770932.34977,1.442101240158081e-06,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(-33.197139739990234, -2.8467931747436523, 560.3883666992188)","(0, 0, 0)"
15,16,1687770932.4535112,1.5458426475524903e-06,"(0, 0, 0)","(-36.10893630981445, -3.996081590652466, 564.1983032226562)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
16,17,1687770932.556344,1.6486756801605226e-06,"(0, 0, 0)","(-36.59642028808594, -6.706113338470459, 566.3873291015625)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
17,18,1687770932.6598291,1.7521603107452392e-06,"(0, 0, 0)","(-36.29448318481445, -9.865547180175781, 568.2899169921875)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
18,19,1687770932.763218,1.8555502891540527e-06,"(0, 0, 0)","(-35.587127685546875, -11.497871398925781, 569.0005493164062)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
19,20,1687770932.8660123,1.958343267440796e-06,"(0, 0, 0)","(-35.022281646728516, -12.480392456054688, 568.69140625)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
20,21,1687770932.9689536,2.061283826828003e-06,"(0, 0, 0)","(-31.937637329101562, -13.889622688293457, 567.0460205078125)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
21,22,1687770933.0725598,2.164891719818115e-06,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(-28.689346313476562, -13.580267906188965, 566.2677001953125)","(0, 0, 0)"
22,23,1687770933.1760962,2.268427848815918e-06,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(-27.10406494140625, -13.976548194885254, 565.4284057617188)","(0, 0, 0)"
23,24,1687770933.2794137,2.3717455863952638e-06,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(-24.646556854248047, -12.405288696289062, 562.2034301757812)","(0, 0, 0)"
24,25,1687770933.3820486,2.474379301071167e-06,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(-26.68001937866211, -10.601920127868652, 561.4273681640625)","(0, 0, 0)"
25,26,1687770933.4836612,2.5759918689727785e-06,"(0, 0, 0)","(0, 0, 0)","(-30.489402770996094, -9.021865844726562, 561.2493896484375)","(0, 0, 0)","(0, 0, 0)"
26,27,1687770933.5861604,2.678494215011597e-06,"(0, 0, 0)","(0, 0, 0)","(-34.962982177734375, -13.030564308166504, 564.34326171875)","(0, 0, 0)","(0, 0, 0)"
27,28,1687770933.6895854,2.781916856765747e-06,"(0, 0, 0)","(-38.15074920654297, -18.616466522216797, 572.5525512695312)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
28,29,1687770933.7917175,2.8840489387512205e-06,"(0, 0, 0)","(-37.89198303222656, -22.142675399780273, 575.8697509765625)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
29,30,1687770933.894012,2.9863433837890625e-06,"(0, 0, 0)","(-35.897212982177734, -23.518354415893555, 574.824951171875)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
30,31,1687770933.996231,3.0885627269744873e-06,"(0, 0, 0)","(-31.711734771728516, -20.85950469970703, 572.5925903320312)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
31,32,1687770934.099578,3.1919102668762205e-06,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(-27.061595916748047, -19.034984588623047, 570.3057250976562)","(0, 0, 0)"
32,33,1687770934.2028828,3.2952191829681397e-06,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(-21.785306930541992, -17.573898315429688, 567.9987182617188)","(0, 0, 0)"
33,34,1687770934.3061988,3.3985295295715334e-06,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(-19.172992706298828, -14.5237455368042, 565.2939453125)","(0, 0, 0)"
34,35,1687770934.4086475,3.5009794235229493e-06,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(-21.325376510620117, -12.302961349487305, 562.8059692382812)","(0, 0, 0)"
35,36,1687770934.5121164,3.604447603225708e-06,"(0, 0, 0)","(0, 0, 0)","(-27.245868682861328, -14.162283897399902, 563.3731689453125)","(0, 0, 0)","(0, 0, 0)"
36,37,1687770934.6158538,3.708185911178589e-06,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(-32.7044677734375, -16.996694564819336, 568.6845703125)","(0, 0, 0)"
37,38,1687770934.7191515,3.8114826679229734e-06,"(0, 0, 0)","(-35.46330642700195, -19.217880249023438, 574.2825927734375)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
38,39,1687770934.8219495,3.91428017616272e-06,"(0, 0, 0)","(-34.908023834228516, -19.987133026123047, 577.2418823242188)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
39,40,1687770934.9238195,4.01615047454834e-06,"(0, 0, 0)","(-29.3131160736084, -20.26251220703125, 577.9306640625)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
40,41,1687770935.0270202,4.119356393814087e-06,"(0, 0, 0)","(-20.007511138916016, -20.486570358276367, 578.801513671875)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
41,42,1687770935.1298592,4.2221944332122805e-06,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(-13.794570922851562, -18.724319458007812, 578.350830078125)","(0, 0, 0)"
42,43,1687770935.2324777,4.324809312820435e-06,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(-6.330368995666504, -14.262835502624512, 575.9120483398438)","(0, 0, 0)"
43,44,1687770935.3350492,4.427381277084351e-06,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(-0.9631684422492981, -11.897913932800293, 573.8779296875)","(0, 0, 0)"
44,45,1687770935.4383855,4.53071665763855e-06,"(0, 0, 0)","(0, 0, 0)","(2.6008782386779785, -10.205974578857422, 572.9266357421875)","(0, 0, 0)","(0, 0, 0)"
45,46,1687770935.541908,4.6342394351959226e-06,"(0, 0, 0)","(0, 0, 0)","(4.454790115356445, -7.636499881744385, 573.77392578125)","(0, 0, 0)","(0, 0, 0)"
46,47,1687770935.6453724,4.737704038619995e-06,"(0, 0, 0)","(0, 0, 0)","(3.1807985305786133, -2.879272937774658, 571.2294311523438)","(0, 0, 0)","(0, 0, 0)"
47,48,1687770935.7489529,4.841284513473511e-06,"(0, 0, 0)","(0, 0, 0)","(-1.8815361261367798, -1.0439115762710571, 568.2003173828125)","(0, 0, 0)","(0, 0, 0)"
48,49,1687770935.8523307,4.94466233253479e-06,"(0, 0, 0)","(0, 0, 0)","(-10.942370414733887, -4.556741714477539, 566.7928466796875)","(0, 0, 0)","(0, 0, 0)"
49,50,1687770935.9556882,5.0480208396911625e-06,"(0, 0, 0)","(0, 0, 0)","(-16.95086097717285, -9.446608543395996, 567.8421020507812)","(0, 0, 0)","(0, 0, 0)"
50,51,1687770936.0580945,5.150426626205444e-06,"(0, 0, 0)","(-19.372791290283203, -12.394012451171875, 572.5791625976562)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
51,52,1687770936.1606352,5.252966642379761e-06,"(0, 0, 0)","(-18.140731811523438, -14.372995376586914, 572.169677734375)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
52,53,1687770936.2632139,5.3555457592010495e-06,"(0, 0, 0)","(-21.536348342895508, -22.11339569091797, 572.7418823242188)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
53,54,1687770936.3668177,5.459148168563843e-06,"(0, 0, 0)","(-24.439149856567383, -27.97740936279297, 572.078369140625)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
54,55,1687770936.4690747,5.56140661239624e-06,"(0, 0, 0)","(-25.249744415283203, -29.485013961791992, 568.90869140625)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
55,56,1687770936.5724895,5.664821624755859e-06,"(0, 0, 0)","(-25.76076889038086, -29.758811950683594, 567.364501953125)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
56,57,1687770936.67589,5.768221139907837e-06,"(0, 0, 0)","(-27.469831466674805, -29.934534072875977, 567.2647705078125)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
57,58,1687770936.7787452,5.871076822280884e-06,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(-28.903772354125977, -28.687570571899414, 564.3279418945312)","(0, 0, 0)"
58,59,1687770936.8820093,5.974347829818725e-06,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(-32.63543701171875, -26.40282440185547, 562.5307006835938)","(0, 0, 0)"
59,60,1687770936.9853985,6.077730655670166e-06,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(-33.15645217895508, -24.306882858276367, 563.21337890625)","(0, 0, 0)"
60,61,1687770937.0888932,6.181225299835205e-06,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(-32.16510009765625, -22.32334327697754, 561.6281127929688)","(0, 0, 0)"
61,62,1687770937.1912663,6.283596754074097e-06,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(-31.526384353637695, -20.7601318359375, 560.2802124023438)","(0, 0, 0)"
62,63,1687770937.2936437,6.3859751224517825e-06,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(-31.636533737182617, -19.805362701416016, 560.0657348632812)","(0, 0, 0)"
63,64,1687770937.3963602,6.4886915683746335e-06,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(-31.881521224975586, -18.404953002929688, 558.8534545898438)","(0, 0, 0)"
64,65,1687770937.4988732,6.591204881668091e-06,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(-32.108856201171875, -20.24854278564453, 557.768798828125)","(0, 0, 0)"
65,66,1687770937.6023393,6.694669961929322e-06,"(0, 0, 0)","(0, 0, 0)","(-34.18027877807617, -21.31825065612793, 555.8221435546875)","(0, 0, 0)","(0, 0, 0)"
66,67,1687770937.70494,6.797272443771363e-06,"(0, 0, 0)","(-36.138736724853516, -21.41526222229004, 553.1040649414062)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
67,68,1687770937.808543,6.900874853134155e-06,"(0, 0, 0)","(0, 0, 0)","(-36.636409759521484, -20.471067428588867, 551.3844604492188)","(0, 0, 0)","(0, 0, 0)"
68,69,1687770937.9118872,7.004218816757202e-06,"(0, 0, 0)","(0, 0, 0)","(-35.66485595703125, -21.744773864746094, 553.5101318359375)","(0, 0, 0)","(0, 0, 0)"
69,70,1687770938.0142646,7.1065952777862545e-06,"(0, 0, 0)","(0, 0, 0)","(-36.076499938964844, -21.33510971069336, 550.9467163085938)","(0, 0, 0)","(0, 0, 0)"
70,71,1687770938.1165414,7.208876132965088e-06,"(0, 0, 0)","(0, 0, 0)","(-36.50326156616211, -21.143430709838867, 549.3947143554688)","(0, 0, 0)","(0, 0, 0)"
71,72,1687770938.2199347,7.312265872955322e-06,"(0, 0, 0)","(0, 0, 0)","(-36.738121032714844, -20.337583541870117, 547.5516357421875)","(0, 0, 0)","(0, 0, 0)"
72,73,1687770938.3221722,7.414503812789917e-06,"(0, 0, 0)","(0, 0, 0)","(-36.51768112182617, -19.212871551513672, 546.0528564453125)","(0, 0, 0)","(0, 0, 0)"
73,74,1687770938.424965,7.517296314239502e-06,"(0, 0, 0)","(0, 0, 0)","(-36.63535690307617, -18.813817977905273, 546.24072265625)","(0, 0, 0)","(0, 0, 0)"
74,75,1687770938.527593,7.619925022125244e-06,"(0, 0, 0)","(0, 0, 0)","(-35.65560531616211, -16.52490234375, 545.6992797851562)","(0, 0, 0)","(0, 0, 0)"
75,76,1687770938.6296628,7.721993684768676e-06,"(0, 0, 0)","(0, 0, 0)","(-35.923744201660156, -16.75387191772461, 547.16162109375)","(0, 0, 0)","(0, 0, 0)"
76,77,1687770938.733023,7.825354099273682e-06,"(0, 0, 0)","(0, 0, 0)","(-36.8385009765625, -18.976028442382812, 549.8057861328125)","(0, 0, 0)","(0, 0, 0)"
77,78,1687770938.8358202,7.92815113067627e-06,"(0, 0, 0)","(0, 0, 0)","(-38.52096939086914, -21.66598892211914, 550.3812866210938)","(0, 0, 0)","(0, 0, 0)"
78,79,1687770938.939185,8.031516790390014e-06,"(0, 0, 0)","(0, 0, 0)","(-38.76856231689453, -22.40203857421875, 548.9296875)","(0, 0, 0)","(0, 0, 0)"
79,80,1687770939.041545,8.133875608444214e-06,"(0, 0, 0)","(0, 0, 0)","(-39.43540954589844, -23.033294677734375, 547.2973022460938)","(0, 0, 0)","(0, 0, 0)"
80,81,1687770939.1433914,8.23572301864624e-06,"(0, 0, 0)","(0, 0, 0)","(-40.618133544921875, -23.88640594482422, 547.25830078125)","(0, 0, 0)","(0, 0, 0)"
81,82,1687770939.2449994,8.33733057975769e-06,"(0, 0, 0)","(0, 0, 0)","(-39.07722091674805, -21.42482566833496, 546.3985595703125)","(0, 0, 0)","(0, 0, 0)"
82,83,1687770939.3470325,8.439363718032838e-06,"(0, 0, 0)","(-37.584022521972656, -19.885581970214844, 545.7827758789062)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
83,84,1687770939.4488425,8.54117441177368e-06,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
84,85,1687770939.5523462,8.644677639007569e-06,"(0, 0, 0)","(-34.083274841308594, -14.77783489227295, 547.3637084960938)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
85,86,1687770939.655139,8.747470378875732e-06,"(0, 0, 0)","(-34.97983932495117, -14.758832931518555, 544.7189331054688)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
86,87,1687770939.7577264,8.850058078765869e-06,"(0, 0, 0)","(-37.33090591430664, -16.096065521240234, 541.0388793945312)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
87,88,1687770939.860233,8.952563285827636e-06,"(0, 0, 0)","(-37.48005676269531, -15.386760711669922, 541.5001831054688)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
88,89,1687770939.962607,9.054939270019532e-06,"(0, 0, 0)","(-35.77775192260742, -12.537519454956055, 543.2025146484375)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
89,90,1687770940.0652092,9.157539129257202e-06,"(0, 0, 0)","(-35.300838470458984, -11.310665130615234, 543.927978515625)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
90,91,1687770940.1673088,9.259639263153076e-06,"(0, 0, 0)","(-35.66292953491211, -11.07624340057373, 544.368896484375)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
91,92,1687770940.2696936,9.362025260925294e-06,"(0, 0, 0)","(-35.8912467956543, -10.67692756652832, 543.7971801757812)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
92,93,1687770940.3728337,9.465165138244628e-06,"(0, 0, 0)","(-36.65868377685547, -10.64060115814209, 543.4367065429688)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
93,94,1687770940.4750028,9.567333698272706e-06,"(0, 0, 0)","(-36.72270202636719, -9.91897201538086, 543.356689453125)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
94,95,1687770940.5780582,9.67038893699646e-06,"(0, 0, 0)","(-38.020294189453125, -11.552053451538086, 543.3380126953125)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
95,96,1687770940.6803942,9.77272629737854e-06,"(0, 0, 0)","(-40.38990783691406, -11.977799415588379, 542.8461303710938)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
96,97,1687770940.7840657,9.876397132873536e-06,"(0, 0, 0)","(-42.75083541870117, -11.779061317443848, 542.6814575195312)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
97,98,1687770940.8874795,9.979811191558838e-06,"(0, 0, 0)","(-45.04438400268555, -12.529242515563965, 542.1171875)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
98,99,1687770940.991167,1.0083498954772948e-05,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
99,100,1687770941.0940926,1.0186423540115357e-05,"(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
