timestamp,found_marker_id,found_marker_index,found_marker_data,marker1_data,marker2_data,marker3_data,marker4_data,marker5_data
1687838674.4440467,668,0,"(-26.143285751342773, 79.79312896728516, 556.1905517578125)","(-26.143285751342773, 79.79312896728516, 556.1905517578125)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838674.445548,670,1,"(-27.170991897583008, 80.74105834960938, 555.0633544921875)","(0, 0, 0)","(-27.170991897583008, 80.74105834960938, 555.0633544921875)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838674.4494495,668,0,"(-28.660491943359375, 80.80157470703125, 553.6546020507812)","(-28.660491943359375, 80.80157470703125, 553.6546020507812)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838674.4588559,668,0,"(-30.217912673950195, 80.14518737792969, 551.714599609375)","(-30.217912673950195, 80.14518737792969, 551.714599609375)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838674.4663959,668,0,"(-31.94746971130371, 78.97156524658203, 549.45556640625)","(-31.94746971130371, 78.97156524658203, 549.45556640625)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838674.4745507,668,0,"(-33.7745475769043, 77.5428466796875, 547.0426635742188)","(-33.7745475769043, 77.5428466796875, 547.0426635742188)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838674.483041,668,0,"(-35.670833587646484, 76.06250762939453, 544.6102905273438)","(-35.670833587646484, 76.06250762939453, 544.6102905273438)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838674.4913201,668,0,"(-37.59632110595703, 74.68331146240234, 542.2684936523438)","(-37.59632110595703, 74.68331146240234, 542.2684936523438)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838674.4993255,669,2,"(-39.19462966918945, 73.4856185913086, 539.29150390625)","(0, 0, 0)","(0, 0, 0)","(-39.19462966918945, 73.4856185913086, 539.29150390625)","(0, 0, 0)","(0, 0, 0)"
1687838674.5081377,669,2,"(-41.08538055419922, 72.5462646484375, 537.2841186523438)","(0, 0, 0)","(0, 0, 0)","(-41.08538055419922, 72.5462646484375, 537.2841186523438)","(0, 0, 0)","(0, 0, 0)"
1687838674.5164835,668,0,"(-43.166168212890625, 71.85428619384766, 536.3138427734375)","(-43.166168212890625, 71.85428619384766, 536.3138427734375)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838674.524687,669,2,"(-44.475440979003906, 71.32069396972656, 533.8565063476562)","(0, 0, 0)","(0, 0, 0)","(-44.475440979003906, 71.32069396972656, 533.8565063476562)","(0, 0, 0)","(0, 0, 0)"
1687838674.532889,669,2,"(-45.990779876708984, 70.89884185791016, 532.2658081054688)","(0, 0, 0)","(0, 0, 0)","(-45.990779876708984, 70.89884185791016, 532.2658081054688)","(0, 0, 0)","(0, 0, 0)"
1687838674.5415096,669,2,"(-47.50979232788086, 70.5396499633789, 530.627685546875)","(0, 0, 0)","(0, 0, 0)","(-47.50979232788086, 70.5396499633789, 530.627685546875)","(0, 0, 0)","(0, 0, 0)"
1687838674.5499365,670,1,"(-49.29615783691406, 70.2744369506836, 529.692626953125)","(0, 0, 0)","(-49.29615783691406, 70.2744369506836, 529.692626953125)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1687838674.5578744,670,1,"(-50.817832946777344, 70.00688171386719, 527.92919921875)","(0, 0, 0)","(-50.817832946777344, 70.00688171386719, 527.92919921875)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
